"Geo Code","Geo Name","Line Number"
"2021A0011H3Y","H3Y",693450
"2021A0011H3Z","H3Z",695074
"2021A0011H4A","H4A",696698
"2021A0011H4B","H4B",698322
"2021A0011H4C","H4C",699946
"2021A0011H4E","H4E",701570
"2021A0011H4G","H4G",703194
"2021A0011H4H","H4H",704818
"2021A0011H4J","H4J",706442
"2021A0011H4K","H4K",708066
"2021A0011H4L","H4L",709690
"2021A0011H4M","H4M",711314
"2021A0011H4N","H4N",712938
"2021A0011H4P","H4P",714562
"2021A0011H4R","H4R",716186
"2021A0011H4S","H4S",717810
"2021A0011H4T","H4T",719434
"2021A0011H4V","H4V",721058
"2021A0011H4W","H4W",722682
"2021A0011H4X","H4X",724306
"2021A0011H7A","H7A",725930
"2021A0011H7B","H7B",727554
"2021A0011H7C","H7C",729178
"2021A0011H7E","H7E",730802
"2021A0011H7G","H7G",732426
"2021A0011H7H","H7H",734050
"2021A0011H7J","H7J",735674
"2021A0011H7K","H7K",737298
"2021A0011H7L","H7L",738922
"2021A0011H7M","H7M",740546
"2021A0011H7N","H7N",742170
"2021A0011H7P","H7P",743794
"2021A0011H7R","H7R",745418
"2021A0011H7S","H7S",747042
"2021A0011H7T","H7T",748666
"2021A0011H7V","H7V",750290
"2021A0011H7W","H7W",751914
"2021A0011H7X","H7X",753538
"2021A0011H7Y","H7Y",755162
"2021A0011H8N","H8N",756786
"2021A0011H8P","H8P",758410
"2021A0011H8R","H8R",760034
"2021A0011H8S","H8S",761658
"2021A0011H8T","H8T",763282
"2021A0011H8Y","H8Y",764906
"2021A0011H8Z","H8Z",766530
"2021A0011H9A","H9A",768154
"2021A0011H9B","H9B",769778
"2021A0011H9C","H9C",771402
"2021A0011H9E","H9E",773026
"2021A0011H9G","H9G",774650
"2021A0011H9H","H9H",776274
"2021A0011H9J","H9J",777898
"2021A0011H9K","H9K",779522
"2021A0011H9P","H9P",781146
"2021A0011H9R","H9R",782770
"2021A0011H9S","H9S",784394
"2021A0011H9W","H9W",786018
"2021A0011H9X","H9X",787642
"2021A0011J0A","J0A",789266
"2021A0011J0B","J0B",790890
"2021A0011J0C","J0C",792514
"2021A0011J0E","J0E",794138
"2021A0011J0G","J0G",795762
"2021A0011J0H","J0H",797386
"2021A0011J0J","J0J",799010
"2021A0011J0K","J0K",800634
"2021A0011J0L","J0L",802258
"2021A0011J0M","J0M",803882
"2021A0011J0N","J0N",805506
"2021A0011J0P","J0P",807130
"2021A0011J0R","J0R",808754
"2021A0011J0S","J0S",810378
"2021A0011J0T","J0T",812002
"2021A0011J0V","J0V",813626
"2021A0011J0W","J0W",815250
"2021A0011J0X","J0X",816874
"2021A0011J0Y","J0Y",818498
"2021A0011J0Z","J0Z",820122
"2021A0011J1A","J1A",821746
"2021A0011J1C","J1C",823370
"2021A0011J1E","J1E",824994
"2021A0011J1G","J1G",826618
"2021A0011J1H","J1H",828242
"2021A0011J1J","J1J",829866
"2021A0011J1K","J1K",831490
"2021A0011J1L","J1L",833114
"2021A0011J1M","J1M",834738
"2021A0011J1N","J1N",836362
"2021A0011J1R","J1R",837986
"2021A0011J1S","J1S",839610
"2021A0011J1T","J1T",841234
"2021A0011J1X","J1X",842858
"2021A0011J1Z","J1Z",844482
"2021A0011J2A","J2A",846106
"2021A0011J2B","J2B",847730
"2021A0011J2C","J2C",849354
"2021A0011J2E","J2E",850978
"2021A0011J2G","J2G",852602
"2021A0011J2H","J2H",854226
"2021A0011J2J","J2J",855850
"2021A0011J2K","J2K",857474
"2021A0011J2L","J2L",859098
"2021A0011J2M","J2M",860722
"2021A0011J2N","J2N",862346
"2021A0011J2R","J2R",863970
"2021A0011J2S","J2S",865594
"2021A0011J2T","J2T",867218
"2021A0011J2W","J2W",868842
"2021A0011J2X","J2X",870466
"2021A0011J2Y","J2Y",872090
"2021A0011J3A","J3A",873714
"2021A0011J3B","J3B",875338
"2021A0011J3E","J3E",876962
"2021A0011J3G","J3G",878586
"2021A0011J3H","J3H",880210
"2021A0011J3L","J3L",881834
"2021A0011J3M","J3M",883458
"2021A0011J3N","J3N",885082
"2021A0011J3P","J3P",886706
"2021A0011J3R","J3R",888330
"2021A0011J3T","J3T",889954
"2021A0011J3V","J3V",891578
"2021A0011J3X","J3X",893202
"2021A0011J3Y","J3Y",894826
"2021A0011J3Z","J3Z",896450
"2021A0011J4B","J4B",898074
"2021A0011J4G","J4G",899698
"2021A0011J4H","J4H",901322
"2021A0011J4J","J4J",902946
"2021A0011J4K","J4K",904570
"2021A0011J4L","J4L",906194
"2021A0011J4M","J4M",907818
"2021A0011J4N","J4N",909442
"2021A0011J4P","J4P",911066
"2021A0011J4R","J4R",912690
"2021A0011J4S","J4S",914314
"2021A0011J4T","J4T",915938
"2021A0011J4V","J4V",917562
"2021A0011J4W","J4W",919186
"2021A0011J4X","J4X",920810
"2021A0011J4Y","J4Y",922434
"2021A0011J4Z","J4Z",924058
"2021A0011J5A","J5A",925682
"2021A0011J5B","J5B",927306
"2021A0011J5C","J5C",928930
"2021A0011J5J","J5J",930554
"2021A0011J5K","J5K",932178
"2021A0011J5L","J5L",933802
"2021A0011J5M","J5M",935426
"2021A0011J5N","J5N",937050
"2021A0011J5R","J5R",938674
"2021A0011J5T","J5T",940298
"2021A0011J5V","J5V",941922
"2021A0011J5W","J5W",943546
"2021A0011J5X","J5X",945170
"2021A0011J5Y","J5Y",946794
"2021A0011J5Z","J5Z",948418
"2021A0011J6A","J6A",950042
"2021A0011J6E","J6E",951666
"2021A0011J6J","J6J",953290
"2021A0011J6K","J6K",954914
"2021A0011J6N","J6N",956538
"2021A0011J6R","J6R",958162
"2021A0011J6S","J6S",959786
"2021A0011J6T","J6T",961410
"2021A0011J6V","J6V",963034
"2021A0011J6W","J6W",964658
"2021A0011J6X","J6X",966282
"2021A0011J6Y","J6Y",967906
"2021A0011J6Z","J6Z",969530
"2021A0011J7A","J7A",971154
"2021A0011J7B","J7B",972778
"2021A0011J7C","J7C",974402
"2021A0011J7E","J7E",976026
"2021A0011J7G","J7G",977650
"2021A0011J7H","J7H",979274
"2021A0011J7J","J7J",980898
"2021A0011J7K","J7K",982522
"2021A0011J7L","J7L",984146
"2021A0011J7M","J7M",985770
"2021A0011J7N","J7N",987394
"2021A0011J7P","J7P",989018
"2021A0011J7R","J7R",990642
"2021A0011J7T","J7T",992266
"2021A0011J7V","J7V",993890
"2021A0011J7W","J7W",995514
"2021A0011J7X","J7X",997138
"2021A0011J7Y","J7Y",998762
"2021A0011J7Z","J7Z",1000386
"2021A0011J8A","J8A",1002010
"2021A0011J8B","J8B",1003634
"2021A0011J8C","J8C",1005258
"2021A0011J8E","J8E",1006882
"2021A0011J8G","J8G",1008506
"2021A0011J8H","J8H",1010130
"2021A0011J8L","J8L",1011754
"2021A0011J8M","J8M",1013378
"2021A0011J8N","J8N",1015002
"2021A0011J8P","J8P",1016626
"2021A0011J8R","J8R",1018250
"2021A0011J8T","J8T",1019874
"2021A0011J8V","J8V",1021498
"2021A0011J8X","J8X",1023122
"2021A0011J8Y","J8Y",1024746
"2021A0011J8Z","J8Z",1026370
"2021A0011J9A","J9A",1027994
"2021A0011J9B","J9B",1029618
"2021A0011J9E","J9E",1031242
"2021A0011J9H","J9H",1032866
"2021A0011J9J","J9J",1034490
"2021A0011J9L","J9L",1036114
"2021A0011J9P","J9P",1037738
"2021A0011J9T","J9T",1039362
"2021A0011J9V","J9V",1040986
"2021A0011J9X","J9X",1042610
"2021A0011J9Y","J9Y",1044234
"2021A0011J9Z","J9Z",1045858
"2021A0011K0A","K0A",1047482
"2021A0011K0B","K0B",1049106
"2021A0011K0C","K0C",1050730
"2021A0011K0E","K0E",1052354
"2021A0011K0G","K0G",1053978
"2021A0011K0H","K0H",1055602
"2021A0011K0J","K0J",1057226
"2021A0011K0K","K0K",1058850
"2021A0011K0L","K0L",1060474
"2021A0011K0M","K0M",1062098
"2021A0011K1A","K1A",1063722
"2021A0011K1B","K1B",1065346
"2021A0011K1C","K1C",1066970
"2021A0011K1E","K1E",1068594
"2021A0011K1G","K1G",1070218
"2021A0011K1H","K1H",1071842
"2021A0011K1J","K1J",1073466
"2021A0011K1K","K1K",1075090
"2021A0011K1L","K1L",1076714
"2021A0011K1M","K1M",1078338
"2021A0011K1N","K1N",1079962
"2021A0011K1P","K1P",1081586
"2021A0011K1R","K1R",1083210
"2021A0011K1S","K1S",1084834
"2021A0011K1T","K1T",1086458
"2021A0011K1V","K1V",1088082
"2021A0011K1W","K1W",1089706
"2021A0011K1X","K1X",1091330
"2021A0011K1Y","K1Y",1092954
"2021A0011K1Z","K1Z",1094578
"2021A0011K2A","K2A",1096202
"2021A0011K2B","K2B",1097826
"2021A0011K2C","K2C",1099450
"2021A0011K2E","K2E",1101074
"2021A0011K2G","K2G",1102698
"2021A0011K2H","K2H",1104322
"2021A0011K2J","K2J",1105946
"2021A0011K2K","K2K",1107570
"2021A0011K2L","K2L",1109194
"2021A0011K2M","K2M",1110818
"2021A0011K2P","K2P",1112442
"2021A0011K2R","K2R",1114066
"2021A0011K2S","K2S",1115690
"2021A0011K2T","K2T",1117314
"2021A0011K2V","K2V",1118938
"2021A0011K2W","K2W",1120562
"2021A0011K4A","K4A",1122186
"2021A0011K4B","K4B",1123810
"2021A0011K4C","K4C",1125434
"2021A0011K4K","K4K",1127058
"2021A0011K4M","K4M",1128682
"2021A0011K4P","K4P",1130306
"2021A0011K4R","K4R",1131930
"2021A0011K6A","K6A",1133554
"2021A0011K6H","K6H",1135178
"2021A0011K6J","K6J",1136802
"2021A0011K6K","K6K",1138426
"2021A0011K6T","K6T",1140050
"2021A0011K6V","K6V",1141674
"2021A0011K7A","K7A",1143298
